"Id";"Organisations";"Regional/national entities";"Implementing Partners";"Countries";"Regions";"Cities";"Specific Objectives";"Sectors";"Beneficiaries";"Donors";"Overall Budget (in euros)";"Allocated Budget (in euros)";"Context";"Starting Date";"Ending Date";"First Cash Date";"excel.maket_assessment";"Coordination Mechanisms";"Modalities";"Type of Intervention";"Contact Person Name";"Contact Person Position";"Contact Email Address";"Organisation Website";"Language";"Description";"Data sharing allowed";"Media";"Additional Fields"
"298";"OXFAM";"Intermond";"AMAD, ACORD";"Mauritania";"";"13";"Contribuer à la lutte contre la malnutrition dans les régions du Brakhna et Gorgol en cherchant un impact sur ses causes immédiates (apports alimentaires inadéquats et hautes prévalences des maladies hydriques)";"Food security and livelihood";"1822";"Swedish International Development Cooperation Agency (SIDA)";"";"";"Rural - Sedentary";"4/2012";"7/2013";"1/";"Agency-specific tools - suivi des prix du marché";"";"Cash for work, Direct cash#";"Cash transfer only (cash or voucher)";"DIALLO Ibrahima";"";"pmsecmr@intermonoxfam.org";"";"French";"Projet Regional Mauritanie, Tchad et Burkina Faso";"no";"";""
"299";"Action Contre la Faim - ACF International";"ACF Spain";"Vision Sud";"Mauritania";"Gorgol";"73";"Atténuation des risques de Crise Alimentaire et Nutritionnelle
(Projet régional ECHO Mitigation)";"Food security and livelihood";"2238";"European Commission Humanitarian Office (ECHO)";"";"";"Rural - Sedentary";"12/2011";"5/2012";"1/";"Agency-specific tools - suivi des prix du marché";"Other - Administrative autority coordination, Technical Working Group";"Cash for work, Direct cash, plus Via Bank and supplier, Micro finance institution, plus : Direct, bank, Supplier, plus : Direct, bank, Supplier#Unconditional grant#";"Cash transfer + in-kind (or other) - Food (very low % off the total cash)";"Dah";"FS coordinator";"mdah@mr.acfspain.org";"Accion Contra el Hambr";"French";"Projet Regional au Mali, Mauritanie et Burkina Faso en Euro";"no";"";""
"300";"Action Contre la Faim - ACF International";"ACF Spain";"";"Mauritania";"Gorgol";"73";"Réponse à la Crise alimentaire et nutritionnelle";"Food security and livelihood";"2000";"European Commission Humanitarian Office (ECHO)";"";"";"Rural - Sedentary";"8/2012";"12/2012";"1/";"Agency-specific tools - suivi des prix du marché";"Other - Administrative autority coordination, Technical Working Group";"Unconditional grant, Direct cash, Micro finance institution, and direct, and direct#";"Cash transfer only (cash or voucher)";"Dah";"FS coordinator";"mdah@mr.acfspain.org";"Accion Contra el Hambr";"French";"";"no";"";""
"301";"Action Contre la Faim - ACF International";"ACF Spain";"";"Mauritania";"Gorgol";"48";"Réponse à la Crise du Sahel: de l'Urgence au Redressement";"Food security and livelihood";"3170";"Department for International Development (DFID)";"";"";"Rural - Sedentary";"4/2012";"3/2013";"1/";"Agency-specific tools - suivi des prix du marché";"Other - Administrative autority coordination, Technical Working Group";"";"Cash transfer + in-kind (or other) - Food (higher % than cash)";"Dah";"FS coordinator";"mdah@mr.acfspain.org";"Accion Contra el Hambr";"French";"projet pour les 4pays dont Mauritanie £833 975";"no";"";""
"302";"IFRC/National Societies";"Croix Rouge Française";"Croissant Rouge mauritanienMontpellier sup-agro - Institut des Régions Chaudes";"Mauritania";"";"38";"Recherche / action sur les filets de sécurité social";"";"";"EuropeAid";"";"";"Rural - Sedentary";"5/2011";"4/2013";"1/";"Agency-specific tools - Suivi des macrhés locaux par volontaires CR";"";"Unconditional grant, Direct cash#";"Cash transfer only (cash or voucher)";"Xavier Huchon";"";"fs-westafrica.frc@croix-rouge.fr";"";"French";"";"no";"";""
"303";"IFRC/National Societies";"Croix Rouge Française";"Croissant Rouge mauritanienMontpellier sup-agro - Institut des Régions Chaudes";"Mauritania";"";"38";"Renforcement et sécurisation des moyens d'existence";"";"";"EuropeAid";"";"";"Rural - Sedentary";"1/2013";"12/2014";"1/";"Agency-specific tools - a déterminer";"";"Unconditional grant, Direct cash#";"Cash transfer only (cash or voucher)";"Xavier Huchon";"";"fs-westafrica.frc@croix-rouge.fr";"";"French";"Action non commencée
Action développant d'autres activités que le transfert monétaire";"no";"";""
"310";"Save the Children";"Save The Children Spain";"";"Mauritania";"Gorgol";"46";"Amélioration de la sécurité alimentaire pour les ménages affectés par la sècheresse";"Food security and livelihood";"12000";"USAID/FFP";"";"";"Rural - Sedentary";"11/2012";"7/2013";"1/";"Agency-specific tools - Suivi des prix du marché";"";"Cash for work, Direct cash, Aid agency directly#";"Cash transfer only (cash or voucher)";"Juan Antonio Gil";"Country Representative";"juanantonio.gil@savethechildren.es";"";"Spanish";"";"no";"";""
"311";"Save the Children";"Save The Children Spain";"";"Mauritania";"Gorgol, Brakna";"11";"Amélioration de la sécurité alimentaire pour les ménages affectés par la sècheresse";"Food security and livelihood";"2960";"CAM (Madrid)";"";"";"Rural - Sedentary";"2/2013";"7/2013";"1/";"Agency-specific tools - Suivi des prix du marché";"";"Cash for work, Direct cash, Aid agency directly#";"Cash transfer only (cash or voucher)";"Juan Antonio Gil";"";"juanantonio.gil@savethechildren.es";"";"Spanish";"";"no";"";""
"312";"Gret";"";"ANED (Association Nutrition et Développement), ONG mauritanienne locale";"Mauritania";"Brakna";"91";"Contribuer à prévenir et réduire les différentes formes de malnutrition infantile auprès d’une population de 137 000 habitants vivant dans la région du Brakna.";"Nutrition";"5000";"European Union";"";"";"Rural - Sedentary";"2/2011";"4/2013";"1/";"";"";"Unconditional grant, Direct cash, Aid agency directly#";"Cash transfer only (cash or voucher)";"César HERZELE                       Chamekh MEIDANE                                                Mirrdyn Denizeau";"";"herzele@gret.org
ochamekh@yahoo.fr
denizeau@gret.org";"";"French";"Pour le respect de notre système de Suivi-Evaluation, les villages bénéficiaires des TM sont tirés au sort. Au niveau de chaque village bénéficiaire, toutes les femmes enceintes au 3ème trimestre de grossessse et/ou ayant un enfant entre 0 et 2 ans  reçoivent les TM. 1 trnsfert tous les 2 mois pendant la période de soudure";"no";"";""
"328";"IFRC/National Societies";"Gambia RC";"";"Gambia";"Upper River - 3950";"";"To contribute to the reduction of the vulnerability of 790 dispaced families hosted in scholls and other public structures with cash distribution";"";"3950";"Canadian Government (CIDA), Australian/ American /Belgium governmt, Canadian Red Cross, Danish Red Cross (From governmemt), European Commission Humanitarian Office (ECHO), Others";"";"";"";"6/2011";"11/2011";"1/";"";"";"Vouchers#";"Cash transfer + in-kind (or other)";"Mamodou Bah";"Secretary General, Gambia Red Cross Society";"do_bah@yahoo.com, redcrossgam@yahoo.com";"www.ifrc.org";"English";"Appeal code: MDRGM006";"no";"MDRGM006 DREF Final  Report (30-04-2011).pdf";""
"348";"IFRC/National Societies";"-";"";"Guatemala";"Jalapa, Retalhuleu, Quezaltenango, Izabal - 8445";"";"Ensure that the most vulnerable families have a healthy, safe and dignified shelter solution to
preserve their physical and mental well-being and prevent the further deterioration of the humanitarian
situation.";"Shelter, settlement";"8445";"American Red Cross, British Red Cross, Japanese Red Cross, New Zealand Red Cross, Norwegian Red Cross, Swedish Red Cross, Canadian Red Cross, Netherlands Red Cross, Voluntary Emergency Relief";"";"";"";"7/2010";"5/2012";"1/";"";"None";"Vouchers#";"Cash transfer + in-kind (or other)";"";"";"";"www.ifrc.org";"English";"";"no";"";""
"349";"IFRC/National Societies";"Bahamas RC";"";"Bahamas";"Bahamas - 2470";"";"The affected population will benefit from the provision of relief items to recover from the
effects of recent floods and effects from tropical storm Noel.";"";"2470";"American Red Cross, Swiss Red Cross (from government), Swedish Red Cross, Singapore Red Cross, Norwegian Red Cross, New York Office, Netherlands Red Cross, Luxembourg Government, Japanese Red Cross, Italian Government Bilateral Emergency fund, Finnish Red Cross, Canadian Government (CIDA), Canadian Red Cross, Voluntary Emergency Relief";"";"";"";"12/2007";"7/2010";"1/";"";"None";"Unconditional grant#";"Cash transfer + in-kind (or other)";"";"";"";"www.ifrc.org";"English";"";"no";"";""
"381";"Norwegian Refugee Council (NRC)";"";"";"Dem. Rep. Congo";"Nord-Kivu - 39400";"";"Contribuer à préserver les vies et les actifs des personnes vulnérables confrontées à des crises alimentaires exacerbées par des mouvements de populations.";"Food security and livelihood";"39400";"Norwegian Ministry for Foreign Affairs (NMFA) - 331075, European Commission Humanitarian Office (ECHO) - 1853500";"2184575";"";"";"6/2013";"3/2014";"1/";"Agency-specific tools";"Cluster - Cluster - Food Sec, Other - Coordination avec les programme RRMP (Reponse Rapide aux Mouvements de Population)";"Vouchers, Paper- Cash voucher, 39400#";"Cash transfer only (cash or voucher)";"";"";"pccashvoucherefsd@drc.nrc.no";"www.nrc.no";"French";"Réponse en sécurité alimentaire d'urgence aux mouvements de population avec approche cash and voucher. L'approche le plus approprié est choisi pour chaque intervention selon le contexte et les résultats des analyses préalables à l'intervention. L'assistance alimentarie peux etre fourni via: voichers dans foire fermée, vouchers en marché ouvert ou transfert directe de cash aux bénéficiaires.";"no";"";""
"403";"OXFAM";"Oxfam GB";"WASDA & ALDEF";"Kenya";"North-Eastern - 246000";"";"This project covers the implementation in Turkana district targeting 25,000 households, Wajir district targeting 16,000 households and links to planning and coordination with other contracted component leads.";"Food security and livelihood";"246000";"Department for International Development (DFID) - 1200529";"1200529";"22700000";"Rural - Pastoralist";"6/2008";"5/2012";"1/";"";"Technical Working Group - Food security cluster & social protection working group";"Unconditional grant, faciliated the process of delivering unconditional cash transfers to 41,000 families/average 6 people per family for a period of 4 years, Bank transfer, Oxfam & partners, 25000, 227, 4#";"Cash transfer only (cash or voucher)";"Carolyne Alondo";"GRANT ADMINISTRATOR";"CAlondo@Oxfam.org.uk, GEKUWAM@oxfam.org.uk";"Sustainable Development and Vulnerability Reduction in the Arid Lands of Kenya";"English";"Oxfam GB has been contracted to manage the design and implementation of the ‘administrative’ component of the pilot Hunger Safety Net in 4 arid districts of Northern Kenya.  This brings into effect a means to ensure predictable and guaranteed transfers of cash-based entitlements over a 4 year period to people identified as being the most poor and vulnerable to hunger and targets in total 60,000 households.  This project covers the implementation in Turkana district targeting 25,000 households and links to planning and coordination with other contracted component leads.";"no";"";""
"407";"OXFAM";"";"";"Kenya";"Central - 9000";"";"This project is meant to offer immediate relief to target 1500 families being affected by the increase in food prices over a period of eight months. The project proposes to research and pilot delivery mechanisms for the vulnerable and especially people who can not be reached through direct cash transfers. Partners will be engaged in effective targeting of beneficiaries and monitoring.";"Food security and livelihood";"9000";"Oxfam Cat Fund - 708189";"708189";"37500";"Urban";"2/2010";"3/2013";"1/";"Agency-specific tools";"Cluster - food security cluster";"Unconditional grant, unconditional cash transfers to 1500 families through Mpesa, Mobile phone, safaricom, 1500, 5, 5#";"";"Mary Olum";"OPAL ADMINISTRATOR";"MOlum@oxfam.org.uk, EGikonyo@oxfam.org.uk";"Kenya Urban Programme";"English";"The project emphasises interventions that are appropriate to the urban context. As access and affordability is the main driver of food insecurity in urban informal settlements, Oxfam GB through their partner organisations will implement cash based interventions. This is meant to offer immediate relief to target 1500 families being affected by the increase in food prices over a period of eight months. The project proposes to research and pilot delivery mechanisms for the vulnerable and especially people who can not be reached through direct cash transfers. Partners will be engaged in effective targeting of beneficiaries and monitoring.";"no";"";""
"455";"Agency for Technical Cooperation and Development (ACTED)";"ACTED Pakistan";"";"Pakistan";"Northern Areas - 99282";"";"Firstly, that vulnerable disaster affected families have access to cash to meet their basic needs, and vulnerable disaster affected families have adequate access to clean water, sanitation  facilities and knowledge of hygiene practices";"Food security and livelihood, Water supply, sanitation and hygiene promotion";"99282";"European Commission Humanitarian Office (ECHO) - 1500000";"1500000";"416331";"";"5/2013";"4/2014";"1/";"";"";"Cash for work, Cheques, 33957, 6, 1#Cash for work, Cheques, 70863, 3, 1#";"";"";"";"";"";"English";"";"yes";"";""
"458";"Agency for Technical Cooperation and Development (ACTED)";"ACTED Pakistan";"";"Pakistan";"Northern Areas - 13053, F.A.T.A. - 13053, Sind - 52140";"";"Conflict affected HHs are enabled to earn money to meet basic needs in displacement and upon return, 90% of targeted HHs live in more flood-resistant homes, and overall community knowledge of how to build flood resistant shelters is increased";"Food security and livelihood, Shelter, settlement";"78246";"Department for International Development (DFID) - 7064461";"7064461";"1103508";"";"9/2013";"6/2015";"1/";"";"";"Cash for work, Cheques, 225, 102, 3#Cash for work, Cheques, 2155, 72, 3#Cash for work, Cheques, 111, 102, 3#Cash for work, Cheques, 1056, 72, 3#Cash for work, Cheques, 110, 102, 3#Cash for work, Cheques, 1026, 72, 3#Conditional grant, Cheques, 240, 72, 3#";"";"";"";"";"";"English";"";"yes";"";""
"470";"Solidarités International";"";"";"Afghanistan";"Kabul - 3170";"";"Contribuer à l'accès à l'eau et a des facilités sanitaires pour les populations les plus défavorisées dans les périphéries de Kaboul";"Water supply, sanitation and hygiene promotion";"3170";"European Commission Humanitarian Office (ECHO) - 1130000";"1130000";"139480";"Urban";"6/2009";"6/2010";"1/";"Agency-specific tools";"None";"Cash for work, Solidarités international a décidé de mettre en place une activité d'argent contre travail dans le cadre de ce projet afin d'impliquer les bénéficiaires mais aussi de leur permettre d'avoir accès à un revenu plus important, Direct cash, Aid agency directly, Solidarités International, Solidarités International, 3170, 44, 1#";"Cash transfer only (cash or voucher)";"Christophe Vavasseur";"head of mission Afghanistan";"afg.cdm@solidarites-afghanistan.org, assistasie@solidarites.org";"www.solidarites.org";"English";"Du fait d'une extension importante, Kaboul est une ville qui ne peut assurer l'accès à l'eau et a la sanitation pour les populations les plus pauvres vivant en périphérie de la ville. Solidarités a donc décidé de s'investir auprès de ces populations afin d'améliorer leurs conditions de vie.";"yes";"";""
"471";"Solidarités International";"";"";"Afghanistan";"Samangan - 2516";"";"Access to safe water, sanitary and hygiene conditions is improved in Kabul city and emergency shelter for earthquake affected families in Samangan Province is ensured";"Food security and livelihood";"2516";"European Commission Humanitarian Office (ECHO) - 1471245";"1471245";"67932";"Urban";"8/2010";"9/2011";"1/";"Agency-specific tools";"";"Cash for work, 20% upon signature, 40% following the use of the community participation material and 40% when the doors and windows are provided by Solidarités, Direct cash, Aid agency directly, Solidarités international, Solidarités international, 2516, 27, 1#";"Cash transfer + in-kind (or other) - Solidarités International has also provided materials for rebuilding the destroyed houses";"Philippe Bonnet";"Head of Mission, Afghanistan";"afg.cdm@solidarites-afghanistan.org, assistasie@solidarites.org";"http://www.solidarites.org/";"English";"After the earthquake it was urgent for Solidarités to get involved in order to help the population that had their houses destroyed, but also to keep acting for the persons that are living in Kaboul without any access to propers sanitary and hygiene conditions.";"yes";"";""
"472";"Solidarités International";"";"";"Afghanistan";"Bamyan - 6190, Samangan - 6504";"";"To meet the immediate food needs of
the targeted population";"Food security and livelihood";"12694";"European Commission Humanitarian Office (ECHO) - 700000";"700000";"211143";"Rural - Sedentary";"5/2011";"3/2012";"1/";"Agency-specific tools";"";"Cash for work, For men, Direct cash, Aid agency directly, Solidarités International, Solidarités International, 1171, 103, 1#Cash for training, For women, Direct cash, Aid agency directly, Solidarités International, Solidarités International, 823, 110, 1#";"Cash transfer only (cash or voucher)";"";"";"";"www.solidarites.org";"English";"This project is an emergency food assistance program for person affected by climatic disasters in the central highlands";"yes";"";""
"499";"Solidarités International";"";"";"Bangladesh";"Dhaka - 211250";"";"Ensure that all severely affected targeted households meet basic food needs without having to resort to
negative coping strategies and give them the capacity to strengthen their own livelihoods.";"Food security and livelihood";"211250";"European Commission Humanitarian Office (ECHO) - 10000000";"10000000";"1265674";"";"6/2011";"13/2011";"1/";"Agency-specific tools";"Technical Working Group - NARRI consortium";"Cash for work, Direct cash, Aid agency directly, 42338, 8, 1#Cash for training, Direct cash, Aid agency directly, 42135, 22, 1#";"";"Georgios Mitsios";"head of mission";"dha.hom@solidarites-bangladesh.org, assistasie@solidarites.org";"www.solidarites.org";"English";"";"yes";"";""
"525";"Solidarités International";"";"Oxfam and Islamic Relief";"Bangladesh";"Dhaka - 10630";"";"Food Security Response Initiatives and Efforts for floods in North-WesternDistricts-2012";"Food security and livelihood";"10630";"European Commission Humanitarian Office (ECHO) - 1369000";"1369000";"191340";"Rural - Sedentary";"2/2012";"6/2012";"1/";"Agency-specific tools";"";"Cash for work, The package was calculated on the basis that the HHs manage to find around 8 days per month of job opportunities and is seen as a complementary income support, equal to 12 extra working days of cash (at 180 BDT/day based on the daily labour GoB rate for 3 month, thus 12x180x3=6,480 BDT, rounded to 6,520 BDT). Each HH will therefore generate around 20 days/month (8 days local employment + 12 days through the cash transfer programme) of income during 3 months. Among the 10,630 beneficiaries, NARRI will target 213 (2%) of the most affected HHs who are in a critically vulnerable situation (i.e. elderly/disabled/heavily pregnant female headed HHs unable to move out of their shelter and with no member able to participate in the other cash transfer activities) through UCG. They will receive a total amount of 6,520 BDT (divided in 3 installments of 2,173 BDT), equal to that of the other CFW/CFT beneficiaries., Direct cash, Aid agency directly, 10630, 18, 1#";"";"Georgios Mitsios";"Head of mission Bangladesh";"dha.hom@solidarites-bangladesh.org, assistasie@solidarites.org";"www.solidarites.org";"English";"The direct beneficiaries of this intervention will consist of households that are the most affected by the floods in the three target districts. Daily labourers HHs will be targeted as a priority as they are the most impacted by the agricultural damages and have less coping capacities. NARRI will target 54% (corresponding to 100% of daily labourers and around 33% of the most affected marginal farmers) of the most affected people (10,630 HHs out of 19,964 HHs) in the most affected unions of Jamlapur, Kurigram and Gaibandha.";"yes";"bangladesh-drr-cash-project-key-recommendationssiiroxfam2013-2.pdf";""
"662";"Mercy Corps";"";"";"Nepal";"Mahakali - 15295";"";"To provide immediate relief for food insecure households affected by rising food prices, while supporting projects that improve longer-term food security prospects.";"Food security and livelihood";"15295";"Others - 1901221";"1901221";"1529500";"";"7/2009";"7/2010";"1/";"";"";"Cash for work, Direct cash, 15295, 2, 50#";"";"";"";"";"http://nepal.mercycorps.org/projects/agri-projects/FCCTP.php";"English";"The intervention will provide income generating opportunities in selected wards in village development communities (VDCs) prioritized as food insecure according to WFP’s Protracted Relief and Rehabilitation Operation (PRRO) rankings.  In addition to providing income generation support for 15,000 households, Cash-for-Work (CFW) schemes supported will contribute to longer-term food security and disaster risk reduction through improved irrigation systems; expanded flood mitigation works; improved agricultural roads; new post-harvest storage facilities; and, agricultural pest control measures.

Funds channeled through WFP.";"no";"";""
"704";"Mercy Corps";"";"";"Haiti";"Ouest - 8700";"";"As part of its emergency response, Mercy Corps launched a comprehensive WASH program that assisted the 11,000 people living in 25 camps for displaced people scattered throughout the neighborhoods of Tabarre and Pétion Ville in Port-au-Prince. The Cash for Work program was designed to assist the victims of the earthquake to get back on their feet by providing them with income, thus allowing them to address their immediate needs.";"Water supply, sanitation and hygiene promotion";"8700";"Carnegie Corporation of New York - 200000";"200000";"870000";"";"4/2010";"4/2011";"1/";"";"";"Cash for work, Direct cash, 8700, 5, 20#";"";"";"";"";"mercycorps.org";"English";"The grant from the Carnegie Foundation allowed Mercy Corps to assist the victims of the earthquake that hit Haiti on January 12, 2010. The grant contributed to two major emergency response programs in Port au Prince that assisted displaced people living in different camps in the capital: a Water, Sanitation and Hygiene program and a Cash for Work Program.Mercy Corps targeted five camps for displaced people who had lost their homes and livelihoods during the earthquake.";"no";"";""
"707";"Mercy Corps";"";"";"Yemen";"Ta`izz - 75981";"";"The ""Taiz Emergency Food Program"" (TEFP) contributed to enhancing food security and resilience for vulnerable households in Taiz Governate through 8 months of emergency food rations.";"Food security and livelihood";"75981";"USAID - 4787890";"4787890";"2151600";"";"5/2012";"9/2013";"1/";"";"";"Vouchers, Paper- Commodity voucher, 8965, 30, 8#";"";"";"";"";"";"English";"";"no";"";""
"709";"Mercy Corps";"";"";"Myanmar";"Ayeyarwady - 52630";"";"The ""Cyclone Nargis Integrated Emergency Response"" program was implemented to improve the public health and strengthen the civil society network of cyclone-affected populations.
• Objective 1: Assist cyclone-affected populations with immediate needs in the sectors of essential non-food items, shelter and water-sanitation and spur community-led early recovery with a focus on agricultural-livelihoods. Simultaneously strengthen civil-society networks providing cyclone-relief.
• Objective 2: Enhanced food security and productive assets for cyclone-affected and poor populations through strengthened sustainable natural resource-based livelihoods and the rehabilitation of village infrastructure.
• Objective 3: Improve the quality of life of cyclone affected and vulnerable communities through direct and indirect interventions in water, sanitation, and hygiene.";"Other, Water supply, sanitation and hygiene promotion, civil society";"52630";"ECHO - 1570000";"1570000";"105039";"";"4/2009";"3/2010";"1/";"";"";"Cash for work, Direct cash, 3183, 33, 1#";"";"";"";"";"";"English";"";"no";"";""
"805";"Solidarités International";"";"";"Philippines";"Leyte - 9570";"";"To clear disaster affected communities of debris through cash for work activities, reducing health & environmental risks and restoring community infrastructures, while providing emergency income to affected populations and comprehensive debris management.";"Food security and livelihood";"9570";"United Nations Development Programme (UNDP) - 100000, Others - 315930";"415930";"168432";"";"3/2014";"6/2014";"1/";"";"";"Cash for work, Direct cash, Aid agency directly, 1914, 88, 1#";"";"Nicolas Méron";"Head of Mission";"hom@solidarites-philippines.org, assistasie@solidarites.org";"www.solidarites.org";"English";"The program was launched in December 2013 in order to bring an emergency response to the needs created by the loss of income of the most vulnerable populations of La Paz and Pastrana victim of the typhoon. The objective was dual: ensure beneficiaries can provide for their basic needs (food, shelter, medical care in particular) while supporting the early recovery process by clearing the barangays of the debris resulting from Yolanda. That is why the cash for work methodology was identified as the most relevant.";"yes";"";""
"811";"Solidarités International";"";"DALIT";"Bangladesh";"Khulna - 1562";"";"To support the recovery of food security of the most vulnerable and severely affected households in waterlogging affected areas of south west Bangladesh";"Food security and livelihood";"1562";"Others - 422558";"422558";"292266";"";"5/2014";"10/2014";"1/";"";"";"Cash for work, Mobile phone, Telecom company - mobile money, Dutch Bangla Bank Limited (DBBL) and Banglalink, Dutch Bangla Bank Limited (DBBL) and Banglalink, 936, 117, 1#Conditional grant, Collection of individual business plans prior to the grant distribution, Mobile phone, Telecom company - mobile money, Dutch Bangla Bank Limited (DBBL) and Banglalink, Dutch Bangla Bank Limited (DBBL) and Banglalink, 1562, 117, 1#";"Cash transfer only (cash or voucher)";"Sabine Rouhier";"Head of Mission - Bangladesh";"dha.hom@solidarites-bangladesh.org, assistasie@solidarites.org";"";"English";"Cash for Work and Livelihood grant
Waterlogging households are able to cover their essential food security needs and to restart income generating activities


Funds channeled through WFP.";"yes";"";""
"823";"Save the Children";"Save the Children NL";"";"Yemen";"Al Hudaydah - 3000";"";"To contribute to improved nutritional status of the beneficiary community by an improved food security level, WASH practices and access to water among malnutrition affected communities in Hodeida.";"Food security and livelihood, Water supply, sanitation and hygiene promotion";"3000";"European Commission Humanitarian Office (ECHO) - 1699844";"1699844";"750000";"Rural - Sedentary";"6/2014";"5/2015";"1/";"Commonly used tools (EMMA, MIFIRA, RAM-MAG, trader survey...)";"National coordination";"Cash for work, Direct cash, Micro finance institution, 3000, 50, 5#";"Cash transfer only (cash or voucher)";"";"";"";"";"English";"Social safety net";"no";"";""
